company_name,vertical,hyperscaler,engagement_type,announcement_date,description,source_url
Khan Academy,tutoring,Google,Platform Integration,2024-01-20,Google Classroom integration with AI tutoring features,https://blog.google/technology/education/2024/01/20-khan-academy-integration
Khan Academy,tutoring,Microsoft,Partnership,2024-02-15,Microsoft Teams integration for Khan Academy content,https://techcommunity.microsoft.com/2024/02/15-khan-academy-teams
Duolingo,tutoring,Google,Cloud Services,2024-03-01,Google Cloud AI services for language learning personalization,https://cloud.google.com/blog/2024/03/01-duolingo-ai
Coursera,tutoring,Microsoft,Strategic Partnership,2024-03-10,Microsoft Learn integration with Coursera AI courses,https://techcommunity.microsoft.com/2024/03/10-coursera-microsoft-learn
Chegg,tutoring,AWS,Cloud Migration,2024-04-05,AWS infrastructure for Chegg's AI homework help platform,https://aws.amazon.com/blogs/2024/04/05-chegg-aws-migration
Quizlet,tutoring,Google,AI Services,2024-05-15,Google AI for Quizlet's study tool recommendations,https://blog.google/technology/education/2024/05/15-quizlet-ai
Photomath,tutoring,Microsoft,Azure AI,2024-06-20,Azure Cognitive Services for math problem recognition,https://techcommunity.microsoft.com/2024/06/20-photomath-azure
Socratic,tutoring,Google,Acquisition,2024-07-10,Google acquires Socratic for AI homework help,https://blog.google/technology/education/2024/07/10-socratic-acquisition
Brainly,tutoring,AWS,Global Expansion,2024-08-15,AWS infrastructure for Brainly's global peer learning platform,https://aws.amazon.com/blogs/2024/08/15-brainly-global-expansion
IXL Learning,tutoring,Microsoft,Education Partnership,2024-09-20,Microsoft Education integration with IXL adaptive learning,https://techcommunity.microsoft.com/2024/09/20-ixl-education
Carnegie Learning,tutoring,Google,AI Research,2024-10-25,Google AI research collaboration for math tutoring,https://blog.google/technology/education/2024/10/25-carnegie-ai-research
Century Tech,tutoring,AWS,Startup Program,2024-11-05,AWS Activate program for Century Tech's AI platform,https://aws.amazon.com/blogs/2024/11/05-century-tech-activate
Knowji,tutoring,Google,AI Services,2024-12-01,Google AI services for vocabulary learning personalization,https://blog.google/technology/education/2024/12/01-knowji-ai
Naviance,advising,Microsoft,Education Suite,2024-01-25,Microsoft Education integration with Naviance college guidance,https://techcommunity.microsoft.com/2024/01/25-naviance-education
College Board,advising,Google,Cloud Partnership,2024-02-25,Google Cloud for College Board's AI-powered planning tools,https://cloud.google.com/blog/2024/02/25-college-board-cloud
